New_Sample_ID,Transect_Loc,Random_#,Substrate,Treatment,Time_Point,Transect,Transect_Loc,Ecosystem,Location,Abundance?,Mass_Loss?,Composition?
GOT4B8,B8,,Grass Litter,Open,4,B,B8,Grassland,8,N,Y,Y
GOT4C1,C1,,Grass Litter,Open,4,C,C1,Shrubland,1,N,Y,Y
GOT4C2,C2,,Grass Litter,Open,4,C,C2,Shrubland,2,N,Y,Y
GOT4C3,C3,,Grass Litter,Open,4,C,C3,Shrubland,3,N,Y,Y
GOT4C4,C4,,Grass Litter,Open,4,C,C4,Shrubland,4,N,Y,Y
GOT4C5,C5,,Grass Litter,Open,4,C,C5,Grassland,5,N,Y,Y
GOT4C6,C6,,Grass Litter,Open,4,C,C6,Grassland,6,N,Y,Y
GOT4C7,C7,,Grass Litter,Open,4,C,C7,Grassland,7,N,Y,Y
GOT4C8,C8,,Grass Litter,Open,4,C,C8,Grassland,8,N,Y,Y
LCT4R1,AB,145,Glass Slide,Closed,4,A,AB,Boundary,B,Y,N,Y
LCT4R2,CB,123,Glass Slide,Closed,4,C,CB,Boundary,B,Y,N,Y
LCT4R3,AB,141,Glass Slide,Closed,4,A,AB,Boundary,B,Y,N,Y
LCT4R4,BB,139,Glass Slide,Closed,4,B,BB,Boundary,B,Y,N,Y
LCT4R5,BB,133,Glass Slide,Closed,4,B,BB,Boundary,B,Y,N,Y
LDT4R1AS,A2,126,Glass Slide,Death,4,A,A2,Shrubland,2,Y,N,Y
LDT4R2BS,B2,124,Glass Slide,Death,4,B,B2,Shrubland,2,Y,N,Y
LDT4R3CS,C2,115,Glass Slide,Death,4,C,C2,Shrubland,2,Y,N,Y
LDT4R4AG,A7,132,Glass Slide,Death,4,A,A7,Grassland,7,Y,N,Y
LDT4R5BG,B7,144,Glass Slide,Death,4,B,B7,Grassland,7,Y,N,Y
LDT4R6CG,C7,149,Glass Slide,Death,4,C,C7,Grassland,7,Y,N,Y
LDT4R7CS,C2,125,Glass Slide,Death,4,C,C2,Shrubland,2,Y,N,Y
LDT4R8AS,A2,113,Glass Slide,Death,4,A,A2,Shrubland,2,Y,N,Y
LDT4R9BG,B7,138,Glass Slide,Death,4,B,B7,Grassland,7,Y,N,Y
LOT4A1,A1,131,Glass Slide,Open,4,A,A1,Shrubland,1,Y,N,Y
LOT4A2,A2,142,Glass Slide,Open,4,A,A2,Shrubland,2,Y,N,Y
LOT4A3,A3,116,Glass Slide,Open,4,A,A3,Shrubland,3,Y,N,Y
LOT4A4,A4,129,Glass Slide,Open,4,A,A4,Shrubland,4,Y,N,Y
LOT4A5,A5,112,Glass Slide,Open,4,A,A5,Grassland,5,Y,N,Y
LOT4A6,A6,119,Glass Slide,Open,4,A,A6,Grassland,6,Y,N,Y
LOT4A7,A7,134,Glass Slide,Open,4,A,A7,Grassland,7,Y,N,Y
LOT4A8,A8,137,Glass Slide,Open,4,A,A8,Grassland,8,Y,N,Y
LOT4B1,B1,114,Glass Slide,Open,4,B,B1,Shrubland,1,Y,N,Y
LOT4B2,B2,150,Glass Slide,Open,4,B,B2,Shrubland,2,Y,N,Y
LOT4B3,B3,151,Glass Slide,Open,4,B,B3,Shrubland,3,Y,N,Y
LOT4B4,B4,117,Glass Slide,Open,4,B,B4,Shrubland,4,Y,N,Y
LOT4B5,B5,122,Glass Slide,Open,4,B,B5,Grassland,5,Y,N,Y
LOT4B6,B6,152,Glass Slide,Open,4,B,B6,Grassland,6,Y,N,Y
LOT4B7,B7,136,Glass Slide,Open,4,B,B7,Grassland,7,Y,N,Y
LOT4B8,B8,153,Glass Slide,Open,4,B,B8,Grassland,8,Y,N,Y
LOT4C1,C1,128,Glass Slide,Open,4,C,C1,Shrubland,1,Y,N,Y
LOT4C2,C2,146,Glass Slide,Open,4,C,C2,Shrubland,2,Y,N,Y
LOT4C3,C3,148,Glass Slide,Open,4,C,C3,Shrubland,3,Y,N,Y
LOT4C4,C4,147,Glass Slide,Open,4,C,C4,Shrubland,4,Y,N,Y
LOT4C5,C5,121,Glass Slide,Open,4,C,C5,Grassland,5,Y,N,Y
LOT4C6,C6,130,Glass Slide,Open,4,C,C6,Grassland,6,Y,N,Y
LOT4C7,C7,140,Glass Slide,Open,4,C,C7,Grassland,7,Y,N,Y
LOT4C8,C8,143,Glass Slide,Open,4,C,C8,Grassland,8,Y,N,Y
SCT4A1,A1,118,Shrub Litter,Closed,4,A,A1,Shrubland,1,N,Y,Y
SCT4A2,A2,127,Shrub Litter,Closed,4,A,A2,Shrubland,2,N,Y,Y
SCT4A3,A3,120,Shrub Litter,Closed,4,A,A3,Shrubland,3,N,Y,Y
SCT4A4,A4,135,Shrub Litter,Closed,4,A,A4,Shrubland,4,N,Y,Y
SCT4A5,A5,,Shrub Litter,Closed,4,A,A5,Grassland,5,N,Y,Y
SCT4A6,A6,,Shrub Litter,Closed,4,A,A6,Grassland,6,N,Y,Y
SCT4A7,A7,,Shrub Litter,Closed,4,A,A7,Grassland,7,N,Y,Y
SCT4A8,A8,,Shrub Litter,Closed,4,A,A8,Grassland,8,N,Y,Y
SCT4B1,B1,,Shrub Litter,Closed,4,B,B1,Shrubland,1,N,Y,Y
SCT4B2,B2,,Shrub Litter,Closed,4,B,B2,Shrubland,2,N,Y,Y
SCT4B3,B3,,Shrub Litter,Closed,4,B,B3,Shrubland,3,N,Y,Y
SCT4B4,B4,,Shrub Litter,Closed,4,B,B4,Shrubland,4,N,Y,Y
SCT4B5,B5,,Shrub Litter,Closed,4,B,B5,Grassland,5,N,Y,Y
SCT4B6,B6,,Shrub Litter,Closed,4,B,B6,Grassland,6,N,Y,Y
SCT4B7,B7,,Shrub Litter,Closed,4,B,B7,Grassland,7,N,Y,Y
SCT4B8,B8,,Shrub Litter,Closed,4,B,B8,Grassland,8,N,Y,Y
SCT4C1,C1,,Shrub Litter,Closed,4,C,C1,Shrubland,1,N,Y,Y
SCT4C2,C2,,Shrub Litter,Closed,4,C,C2,Shrubland,2,N,Y,Y
SCT4C3,C3,,Shrub Litter,Closed,4,C,C3,Shrubland,3,N,Y,Y
SCT4C4,C4,,Shrub Litter,Closed,4,C,C4,Shrubland,4,N,Y,Y
SCT4C5,C5,,Shrub Litter,Closed,4,C,C5,Grassland,5,N,Y,Y
SCT4C6,C6,,Shrub Litter,Closed,4,C,C6,Grassland,6,N,Y,Y
SCT4C7,C7,,Shrub Litter,Closed,4,C,C7,Grassland,7,N,Y,Y
SCT4C8,C8,,Shrub Litter,Closed,4,C,C8,Grassland,8,N,Y,Y
SOT4A1,A1,,Shrub Litter,Open,4,A,A1,Shrubland,1,N,Y,Y
SOT4A2,A2,,Shrub Litter,Open,4,A,A2,Shrubland,2,N,Y,Y
SOT4A3,A3,,Shrub Litter,Open,4,A,A3,Shrubland,3,N,Y,Y
SOT4A4,A4,,Shrub Litter,Open,4,A,A4,Shrubland,4,N,Y,Y
SOT4A5,A5,,Shrub Litter,Open,4,A,A5,Grassland,5,Y,N,Y
SOT4A6,A6,,Shrub Litter,Open,4,A,A6,Grassland,6,N,Y,Y
SOT4A7,A7,,Shrub Litter,Open,4,A,A7,Grassland,7,N,Y,Y
SOT4A8,A8,,Shrub Litter,Open,4,A,A8,Grassland,8,N,Y,Y
SOT4B1,B1,,Shrub Litter,Open,4,B,B1,Shrubland,1,N,Y,Y
SOT4B2,B2,,Shrub Litter,Open,4,B,B2,Shrubland,2,N,Y,Y
SOT4B3,B3,,Shrub Litter,Open,4,B,B3,Shrubland,3,N,Y,Y
SOT4B4,B4,,Shrub Litter,Open,4,B,B4,Shrubland,4,N,Y,Y
SOT4B5,B5,,Shrub Litter,Open,4,B,B5,Grassland,5,N,Y,Y
SOT4B6,B6,,Shrub Litter,Open,4,B,B6,Grassland,6,N,Y,Y
SOT4B7,B7,,Shrub Litter,Open,4,B,B7,Grassland,7,N,Y,Y
SOT4B8,B8,,Shrub Litter,Open,4,B,B8,Grassland,8,N,Y,Y
SOT4C1,C1,,Shrub Litter,Open,4,C,C1,Shrubland,1,N,Y,Y
SOT4C2,C2,,Shrub Litter,Open,4,C,C2,Shrubland,2,N,Y,Y
SOT4C3,C3,,Shrub Litter,Open,4,C,C3,Shrubland,3,N,Y,Y
SOT4C4,C4,,Shrub Litter,Open,4,C,C4,Shrubland,4,N,Y,Y
SOT4C5,C5,,Shrub Litter,Open,4,C,C5,Grassland,5,N,Y,Y
SOT4C6,C6,,Shrub Litter,Open,4,C,C6,Grassland,6,N,Y,Y
SOT4C7,C7,,Shrub Litter,Open,4,C,C7,Grassland,7,N,Y,Y
SOT4C8,C8,,Shrub Litter,Open,4,C,C8,Grassland,8,N,Y,Y
