New_Sample_ID,Collected?,Random_#,Substrate,Treatment,Time_Point,Transect,Transect_Loc,Ecosystem,Location,Abundance?,Mass_Loss?,Composition?
SOT1A1,,,Shrub Litter,Open,1,A,A1,Shrubland,1,N,Y,Y
SOT1A2,,,Shrub Litter,Open,1,A,A2,Shrubland,2,N,Y,Y
SOT1A3,,,Shrub Litter,Open,1,A,A3,Shrubland,3,N,Y,Y
SOT1A4,,,Shrub Litter,Open,1,A,A4,Shrubland,4,N,Y,Y
SOT1A5,,,Shrub Litter,Open,1,A,A5,Grassland,5,N,Y,Y
SOT1A6,,,Shrub Litter,Open,1,A,A6,Grassland,6,N,Y,Y
SOT1A7,,,Shrub Litter,Open,1,A,A7,Grassland,7,N,Y,Y
SOT1A8,,,Shrub Litter,Open,1,A,A8,Grassland,8,N,Y,Y
SOT1B1,,,Shrub Litter,Open,1,B,B1,Shrubland,1,N,Y,Y
SOT1B2,,,Shrub Litter,Open,1,B,B2,Shrubland,2,N,Y,Y
SOT1B3,,,Shrub Litter,Open,1,B,B3,Shrubland,3,N,Y,Y
SOT1B4,,,Shrub Litter,Open,1,B,B4,Shrubland,4,N,Y,Y
SOT1B5,,,Shrub Litter,Open,1,B,B5,Grassland,5,N,Y,Y
SOT1B6,,,Shrub Litter,Open,1,B,B6,Grassland,6,N,Y,Y
SOT1B7,,,Shrub Litter,Open,1,B,B7,Grassland,7,N,Y,Y
SOT1B8,,,Shrub Litter,Open,1,B,B8,Grassland,8,N,Y,Y
SOT1C1,,,Shrub Litter,Open,1,C,C1,Shrubland,1,N,Y,Y
SOT1C2,,,Shrub Litter,Open,1,C,C2,Shrubland,2,N,Y,Y
SOT1C3,,,Shrub Litter,Open,1,C,C3,Shrubland,3,N,Y,Y
SOT1C4,,,Shrub Litter,Open,1,C,C4,Shrubland,4,N,Y,Y
SOT1C5,,,Shrub Litter,Open,1,C,C5,Grassland,5,N,Y,Y
SOT1C6,,,Shrub Litter,Open,1,C,C6,Grassland,6,N,Y,Y
SOT1C7,,,Shrub Litter,Open,1,C,C7,Grassland,7,N,Y,Y
SOT1C8,,,Shrub Litter,Open,1,C,C8,Grassland,8,N,Y,Y
